number,title,filename,category,category_name,has_optimization,is_verified,is_breakthrough,is_zadanie,file_size,reasoning
54,ZADANIE QW-V6 THROUGH QW-V10:,54 ZADANIE QW-V6 THROUGH QW-V10:.py,A,Pure (no fitting),False,False,False,True,88675,Zadanie/QW study without optimization
55,ZADANIE QW-V11: PROPAGACJA ZWROTNA — WPŁYW MAS BOZONÓW NA SPRZĘŻENIA GAUGE,55 ZADANIE QW-V11: PROPAGACJA ZWROTNA — WPŁYW MAS BOZONÓW NA SPRZĘŻENIA GAUGE.py,A,Pure (no fitting),False,False,False,True,45019,Zadanie/QW study without optimization
56,ZADANIE QW-V14: EMERGENTNA SAMOCONSYSTENCJA — ODKRYCIE BRAKUJĄCEJ CHARAKTERYSTYKI NADSOLITONA,56 ZADANIE QW-V14: EMERGENTNA SAMOCONSYSTENCJA — ODKRYCIE BRAKUJĄCEJ CHARAKTERYSTYKI NADSOLITONA.py,A,Pure (no fitting),False,False,False,True,48025,Zadanie/QW study without optimization
58,ZADANIA QW-V17 i QW-V16: ASYMETRYCZNA ZALEŻNOŚĆ SPRZĘŻEŃ I WYPROWADZENIE FEEDBACK,58 ZADANIA QW-V17 i QW-V16: ASYMETRYCZNA ZALEŻNOŚĆ SPRZĘŻEŃ I WYPROWADZENIE FEEDBACK.py,A,Pure (no fitting),False,False,False,True,91309,Zadanie/QW study without optimization
59,"ZADANIA QW-V18, QW-V19, QW-V20: FRAKTALNA NATURA RZECZYWISTOŚCI","59 ZADANIA QW-V18, QW-V19, QW-V20: FRAKTALNA NATURA RZECZYWISTOŚCI.py",D,Speculative,True,False,False,True,78339,Uses optimization without clear success markers
60,"ZADANIA QW-V18, QW-V19, QW-V20: FRAKTALNA NATURA RZECZYWISTOŚCI","60 ZADANIA QW-V18, QW-V19, QW-V20: FRAKTALNA NATURA RZECZYWISTOŚCI.py",D,Speculative,True,False,False,True,78118,Uses optimization without clear success markers
61,"ZADANIA QW-V24, QW-V25, QW-V26: KOMPLETNA ANALIZA DYNAMIKI, FRAKTALI I ZBIEŻNOŚCI","61 ZADANIA QW-V24, QW-V25, QW-V26: KOMPLETNA ANALIZA DYNAMIKI, FRAKTALI I ZBIEŻNOŚCI.py",A,Pure (no fitting),False,False,False,True,59144,Zadanie/QW study without optimization
62,"ZADANIA QW-V30, QW-V31, QW-V32: KOMPLETNA ANALIZA LAGRANGIANU MINIMALNEGO","62 ZADANIA QW-V30, QW-V31, QW-V32: KOMPLETNA ANALIZA LAGRANGIANU MINIMALNEGO.py",D,Speculative,True,False,False,True,86729,Uses optimization without clear success markers
63,"QW-V33, QW-V34, QW-V35: PEŁNY LAGRANGIAN SPRZĘŻEŃ ZWROTNYCH I NIELINIOWE KOREKTY","63 QW-V33, QW-V34, QW-V35: PEŁNY LAGRANGIAN SPRZĘŻEŃ ZWROTNYCH I NIELINIOWE KOREKTY.py",D,Speculative,True,False,False,True,101470,Uses optimization without clear success markers
64,"QW-V36, QW-V37, QW-V38: ELIMINACJA KALIBRACJI I REDUKCJA LAGRANGIANU","64 QW-V36, QW-V37, QW-V38: ELIMINACJA KALIBRACJI I REDUKCJA LAGRANGIANU.py",D,Speculative,True,False,False,True,106705,Uses optimization without clear success markers
65,"QW-V39, QW-V40, QW-V41: ROZSZERZENIE NA 12 OKTAW I MINIMALNY LAGRANGIAN","65 QW-V39, QW-V40, QW-V41: ROZSZERZENIE NA 12 OKTAW I MINIMALNY LAGRANGIAN.py",D,Speculative,True,False,False,True,88606,Uses optimization without clear success markers
66,"QW-V42, QW-V43, QW-V44, QW-V45: PRZESTRZENIE MIĘDZYOKTAWOWE I MINIMALNY LAGRANGIAN","66 QW-V42, QW-V43, QW-V44, QW-V45: PRZESTRZENIE MIĘDZYOKTAWOWE I MINIMALNY LAGRANGIAN.py",D,Speculative,True,False,False,True,92449,Uses optimization without clear success markers
