characteristic_id,characteristic,domain_id,domain,structural_score_0_4,shared_tags,mandatory_caveat
C02,legacy intermediate bridge profile,D11,"control, observability and process tomography",0,,"Operationally exact when preparations, clock and POVM are supplied."
C02,legacy intermediate bridge profile,D12,adaptive neural operators and reservoir memory,0,,Mechanistic analogy; training objective and data provenance are not derived.
C02,legacy intermediate bridge profile,D13,"topological phases, cohomology and holonomy",1,phase,Correct language for orientation carriers; no automatic signed section.
C02,legacy intermediate bridge profile,D14,causal-operational quantum theory,0,,Clarifies interventions and records; does not choose a physical realization.
C02,legacy intermediate bridge profile,D15,statistical field theory and random operators,0,,Useful null ensembles and effective-action comparisons; not an equivalence theorem.
C03,positive graph Laplacian A,D01,spectral graphs and quantum walks,1,graph;spectral,Exact at the finite operator level; not a continuum or laboratory identification.
C03,positive graph Laplacian A,D02,lattice Green functions and inverse field reconstruction,1,spectral;variational,Exact for chosen quadratic operators; interaction and physical units are extra.
C03,positive graph Laplacian A,D03,graph signal processing and wavelets,1,graph;spectral,Strong filter analogy; it does not supply ontology or dynamics by itself.
C03,positive graph Laplacian A,D04,"Kron reduction, Schur complements and multigrid",1,graph,Exact block algebra; closure inside the strict kernel family is separately false.
C03,positive graph Laplacian A,D05,Mori-Zwanzig reduction and process tensors,0,,Exact reduced-memory mechanism after a declared observed/hidden split; the split is operational input.
C03,positive graph Laplacian A,D06,resource theory of asymmetry,0,,Exact no-creation logic for symmetric free operations; no nonpremise source is obtained.
C03,positive graph Laplacian A,D07,stochastic thermodynamics and feedback,0,,"Requires bath, temperature, energy scale and reset ledger."
C03,positive graph Laplacian A,D08,information geometry and diffusion maps,0,,"Produces intrinsic dimensionless geometry, not SI length or spacetime."
C03,positive graph Laplacian A,D09,noncommutative geometry and spectral action,1,spectral;variational,"Spectral analogy is real; algebra, grading, real structure and scale remain additional data."
C03,positive graph Laplacian A,D10,renormalization and stable fractional limits,0,,Possible universality language; the audited strict family is not Schur-closed.
C03,positive graph Laplacian A,D11,"control, observability and process tomography",0,,"Operationally exact when preparations, clock and POVM are supplied."
C03,positive graph Laplacian A,D12,adaptive neural operators and reservoir memory,0,,Mechanistic analogy; training objective and data provenance are not derived.
C03,positive graph Laplacian A,D13,"topological phases, cohomology and holonomy",0,,Correct language for orientation carriers; no automatic signed section.
C03,positive graph Laplacian A,D14,causal-operational quantum theory,0,,Clarifies interventions and records; does not choose a physical realization.
C03,positive graph Laplacian A,D15,statistical field theory and random operators,1,spectral,Useful null ensembles and effective-action comparisons; not an equivalence theorem.
C04,unitary/heat dual functional calculus,D01,spectral graphs and quantum walks,3,diffusion;dynamics;spectral;unitary,Exact at the finite operator level; not a continuum or laboratory identification.
C04,unitary/heat dual functional calculus,D02,lattice Green functions and inverse field reconstruction,1,spectral,Exact for chosen quadratic operators; interaction and physical units are extra.
C04,unitary/heat dual functional calculus,D03,graph signal processing and wavelets,1,spectral,Strong filter analogy; it does not supply ontology or dynamics by itself.
C04,unitary/heat dual functional calculus,D04,"Kron reduction, Schur complements and multigrid",0,,Exact block algebra; closure inside the strict kernel family is separately false.
C04,unitary/heat dual functional calculus,D05,Mori-Zwanzig reduction and process tensors,1,dynamics,Exact reduced-memory mechanism after a declared observed/hidden split; the split is operational input.
C04,unitary/heat dual functional calculus,D06,resource theory of asymmetry,0,,Exact no-creation logic for symmetric free operations; no nonpremise source is obtained.
C04,unitary/heat dual functional calculus,D07,stochastic thermodynamics and feedback,0,,"Requires bath, temperature, energy scale and reset ledger."
C04,unitary/heat dual functional calculus,D08,information geometry and diffusion maps,1,diffusion,"Produces intrinsic dimensionless geometry, not SI length or spacetime."
C04,unitary/heat dual functional calculus,D09,noncommutative geometry and spectral action,1,spectral,"Spectral analogy is real; algebra, grading, real structure and scale remain additional data."
C04,unitary/heat dual functional calculus,D10,renormalization and stable fractional limits,0,,Possible universality language; the audited strict family is not Schur-closed.
C04,unitary/heat dual functional calculus,D11,"control, observability and process tomography",0,,"Operationally exact when preparations, clock and POVM are supplied."
C04,unitary/heat dual functional calculus,D12,adaptive neural operators and reservoir memory,0,,Mechanistic analogy; training objective and data provenance are not derived.
C04,unitary/heat dual functional calculus,D13,"topological phases, cohomology and holonomy",0,,Correct language for orientation carriers; no automatic signed section.
C04,unitary/heat dual functional calculus,D14,causal-operational quantum theory,1,dynamics,Clarifies interventions and records; does not choose a physical realization.
C04,unitary/heat dual functional calculus,D15,statistical field theory and random operators,1,spectral,Useful null ensembles and effective-action comparisons; not an equivalence theorem.
C05,Green/resolvent/action reconstruction,D01,spectral graphs and quantum walks,1,spectral,Exact at the finite operator level; not a continuum or laboratory identification.
C05,Green/resolvent/action reconstruction,D02,lattice Green functions and inverse field reconstruction,4,field;green;inverse;resolvent;spectral;variational,Exact for chosen quadratic operators; interaction and physical units are extra.
C05,Green/resolvent/action reconstruction,D03,graph signal processing and wavelets,1,spectral,Strong filter analogy; it does not supply ontology or dynamics by itself.
C05,Green/resolvent/action reconstruction,D04,"Kron reduction, Schur complements and multigrid",1,resolvent,Exact block algebra; closure inside the strict kernel family is separately false.
C05,Green/resolvent/action reconstruction,D05,Mori-Zwanzig reduction and process tensors,1,resolvent,Exact reduced-memory mechanism after a declared observed/hidden split; the split is operational input.
C05,Green/resolvent/action reconstruction,D06,resource theory of asymmetry,0,,Exact no-creation logic for symmetric free operations; no nonpremise source is obtained.
C05,Green/resolvent/action reconstruction,D07,stochastic thermodynamics and feedback,0,,"Requires bath, temperature, energy scale and reset ledger."
C05,Green/resolvent/action reconstruction,D08,information geometry and diffusion maps,0,,"Produces intrinsic dimensionless geometry, not SI length or spacetime."
C05,Green/resolvent/action reconstruction,D09,noncommutative geometry and spectral action,1,spectral;variational,"Spectral analogy is real; algebra, grading, real structure and scale remain additional data."
C05,Green/resolvent/action reconstruction,D10,renormalization and stable fractional limits,0,,Possible universality language; the audited strict family is not Schur-closed.
C05,Green/resolvent/action reconstruction,D11,"control, observability and process tomography",1,inverse,"Operationally exact when preparations, clock and POVM are supplied."
C05,Green/resolvent/action reconstruction,D12,adaptive neural operators and reservoir memory,0,,Mechanistic analogy; training objective and data provenance are not derived.
C05,Green/resolvent/action reconstruction,D13,"topological phases, cohomology and holonomy",0,,Correct language for orientation carriers; no automatic signed section.
C05,Green/resolvent/action reconstruction,D14,causal-operational quantum theory,0,,Clarifies interventions and records; does not choose a physical realization.
C05,Green/resolvent/action reconstruction,D15,statistical field theory and random operators,1,field;spectral,Useful null ensembles and effective-action comparisons; not an equivalence theorem.
C06,orientation cocycle and chiral receivers,D01,spectral graphs and quantum walks,0,,Exact at the finite operator level; not a continuum or laboratory identification.
C06,orientation cocycle and chiral receivers,D02,lattice Green functions and inverse field reconstruction,0,,Exact for chosen quadratic operators; interaction and physical units are extra.
C06,orientation cocycle and chiral receivers,D03,graph signal processing and wavelets,0,,Strong filter analogy; it does not supply ontology or dynamics by itself.
C06,orientation cocycle and chiral receivers,D04,"Kron reduction, Schur complements and multigrid",0,,Exact block algebra; closure inside the strict kernel family is separately false.
C06,orientation cocycle and chiral receivers,D05,Mori-Zwanzig reduction and process tensors,0,,Exact reduced-memory mechanism after a declared observed/hidden split; the split is operational input.
C06,orientation cocycle and chiral receivers,D06,resource theory of asymmetry,2,chirality;resource;symmetry,Exact no-creation logic for symmetric free operations; no nonpremise source is obtained.
C06,orientation cocycle and chiral receivers,D07,stochastic thermodynamics and feedback,0,,"Requires bath, temperature, energy scale and reset ledger."
C06,orientation cocycle and chiral receivers,D08,information geometry and diffusion maps,0,,"Produces intrinsic dimensionless geometry, not SI length or spacetime."
C06,orientation cocycle and chiral receivers,D09,noncommutative geometry and spectral action,0,,"Spectral analogy is real; algebra, grading, real structure and scale remain additional data."
C06,orientation cocycle and chiral receivers,D10,renormalization and stable fractional limits,0,,Possible universality language; the audited strict family is not Schur-closed.
C06,orientation cocycle and chiral receivers,D11,"control, observability and process tomography",0,,"Operationally exact when preparations, clock and POVM are supplied."
C06,orientation cocycle and chiral receivers,D12,adaptive neural operators and reservoir memory,0,,Mechanistic analogy; training objective and data provenance are not derived.
C06,orientation cocycle and chiral receivers,D13,"topological phases, cohomology and holonomy",3,chirality;cohomology;phase;symmetry;topology,Correct language for orientation carriers; no automatic signed section.
C06,orientation cocycle and chiral receivers,D14,causal-operational quantum theory,0,,Clarifies interventions and records; does not choose a physical realization.
C06,orientation cocycle and chiral receivers,D15,statistical field theory and random operators,0,,Useful null ensembles and effective-action comparisons; not an equivalence theorem.
C07,fractal Schur compression,D01,spectral graphs and quantum walks,1,graph,Exact at the finite operator level; not a continuum or laboratory identification.
C07,fractal Schur compression,D02,lattice Green functions and inverse field reconstruction,0,,Exact for chosen quadratic operators; interaction and physical units are extra.
C07,fractal Schur compression,D03,graph signal processing and wavelets,1,graph;multiscale,Strong filter analogy; it does not supply ontology or dynamics by itself.
C07,fractal Schur compression,D04,"Kron reduction, Schur complements and multigrid",3,coarse_graining;graph;multiscale;renormalization;schur,Exact block algebra; closure inside the strict kernel family is separately false.
C07,fractal Schur compression,D05,Mori-Zwanzig reduction and process tensors,1,coarse_graining,Exact reduced-memory mechanism after a declared observed/hidden split; the split is operational input.
C07,fractal Schur compression,D06,resource theory of asymmetry,0,,Exact no-creation logic for symmetric free operations; no nonpremise source is obtained.
C07,fractal Schur compression,D07,stochastic thermodynamics and feedback,0,,"Requires bath, temperature, energy scale and reset ledger."
C07,fractal Schur compression,D08,information geometry and diffusion maps,0,,"Produces intrinsic dimensionless geometry, not SI length or spacetime."
C07,fractal Schur compression,D09,noncommutative geometry and spectral action,0,,"Spectral analogy is real; algebra, grading, real structure and scale remain additional data."
C07,fractal Schur compression,D10,renormalization and stable fractional limits,2,coarse_graining;multiscale;renormalization,Possible universality language; the audited strict family is not Schur-closed.
C07,fractal Schur compression,D11,"control, observability and process tomography",0,,"Operationally exact when preparations, clock and POVM are supplied."
C07,fractal Schur compression,D12,adaptive neural operators and reservoir memory,0,,Mechanistic analogy; training objective and data provenance are not derived.
C07,fractal Schur compression,D13,"topological phases, cohomology and holonomy",0,,Correct language for orientation carriers; no automatic signed section.
C07,fractal Schur compression,D14,causal-operational quantum theory,0,,Clarifies interventions and records; does not choose a physical realization.
C07,fractal Schur compression,D15,statistical field theory and random operators,0,,Useful null ensembles and effective-action comparisons; not an equivalence theorem.
C08,adaptive operator and memory law,D01,spectral graphs and quantum walks,0,,Exact at the finite operator level; not a continuum or laboratory identification.
C08,adaptive operator and memory law,D02,lattice Green functions and inverse field reconstruction,0,,Exact for chosen quadratic operators; interaction and physical units are extra.
C08,adaptive operator and memory law,D03,graph signal processing and wavelets,0,,Strong filter analogy; it does not supply ontology or dynamics by itself.
C08,adaptive operator and memory law,D04,"Kron reduction, Schur complements and multigrid",0,,Exact block algebra; closure inside the strict kernel family is separately false.
C08,adaptive operator and memory law,D05,Mori-Zwanzig reduction and process tensors,1,memory,Exact reduced-memory mechanism after a declared observed/hidden split; the split is operational input.
C08,adaptive operator and memory law,D06,resource theory of asymmetry,0,,Exact no-creation logic for symmetric free operations; no nonpremise source is obtained.
C08,adaptive operator and memory law,D07,stochastic thermodynamics and feedback,1,feedback,"Requires bath, temperature, energy scale and reset ledger."
C08,adaptive operator and memory law,D08,information geometry and diffusion maps,0,,"Produces intrinsic dimensionless geometry, not SI length or spacetime."
C08,adaptive operator and memory law,D09,noncommutative geometry and spectral action,1,operator,"Spectral analogy is real; algebra, grading, real structure and scale remain additional data."
C08,adaptive operator and memory law,D10,renormalization and stable fractional limits,0,,Possible universality language; the audited strict family is not Schur-closed.
C08,adaptive operator and memory law,D11,"control, observability and process tomography",0,,"Operationally exact when preparations, clock and POVM are supplied."
C08,adaptive operator and memory law,D12,adaptive neural operators and reservoir memory,4,adaptive;feedback;learning;memory;nonlinear;operator,Mechanistic analogy; training objective and data provenance are not derived.
C08,adaptive operator and memory law,D13,"topological phases, cohomology and holonomy",0,,Correct language for orientation carriers; no automatic signed section.
C08,adaptive operator and memory law,D14,causal-operational quantum theory,0,,Clarifies interventions and records; does not choose a physical realization.
C08,adaptive operator and memory law,D15,statistical field theory and random operators,1,nonlinear,Useful null ensembles and effective-action comparisons; not an equivalence theorem.
C09,information/entropy geometry,D01,spectral graphs and quantum walks,0,,Exact at the finite operator level; not a continuum or laboratory identification.
C09,information/entropy geometry,D02,lattice Green functions and inverse field reconstruction,0,,Exact for chosen quadratic operators; interaction and physical units are extra.
C09,information/entropy geometry,D03,graph signal processing and wavelets,0,,Strong filter analogy; it does not supply ontology or dynamics by itself.
C09,information/entropy geometry,D04,"Kron reduction, Schur complements and multigrid",0,,Exact block algebra; closure inside the strict kernel family is separately false.
C09,information/entropy geometry,D05,Mori-Zwanzig reduction and process tensors,0,,Exact reduced-memory mechanism after a declared observed/hidden split; the split is operational input.
C09,information/entropy geometry,D06,resource theory of asymmetry,0,,Exact no-creation logic for symmetric free operations; no nonpremise source is obtained.
C09,information/entropy geometry,D07,stochastic thermodynamics and feedback,1,entropy;information,"Requires bath, temperature, energy scale and reset ledger."
C09,information/entropy geometry,D08,information geometry and diffusion maps,3,geometry;inference;information;metric;probability,"Produces intrinsic dimensionless geometry, not SI length or spacetime."
C09,information/entropy geometry,D09,noncommutative geometry and spectral action,1,geometry,"Spectral analogy is real; algebra, grading, real structure and scale remain additional data."
C09,information/entropy geometry,D10,renormalization and stable fractional limits,0,,Possible universality language; the audited strict family is not Schur-closed.
C09,information/entropy geometry,D11,"control, observability and process tomography",0,,"Operationally exact when preparations, clock and POVM are supplied."
C09,information/entropy geometry,D12,adaptive neural operators and reservoir memory,0,,Mechanistic analogy; training objective and data provenance are not derived.
C09,information/entropy geometry,D13,"topological phases, cohomology and holonomy",1,geometry,Correct language for orientation carriers; no automatic signed section.
C09,information/entropy geometry,D14,causal-operational quantum theory,0,,Clarifies interventions and records; does not choose a physical realization.
C09,information/entropy geometry,D15,statistical field theory and random operators,1,entropy;probability,Useful null ensembles and effective-action comparisons; not an equivalence theorem.
C10,operational process tuple,D01,spectral graphs and quantum walks,0,,Exact at the finite operator level; not a continuum or laboratory identification.
C10,operational process tuple,D02,lattice Green functions and inverse field reconstruction,0,,Exact for chosen quadratic operators; interaction and physical units are extra.
C10,operational process tuple,D03,graph signal processing and wavelets,0,,Strong filter analogy; it does not supply ontology or dynamics by itself.
C10,operational process tuple,D04,"Kron reduction, Schur complements and multigrid",0,,Exact block algebra; closure inside the strict kernel family is separately false.
C10,operational process tuple,D05,Mori-Zwanzig reduction and process tensors,1,environment;process,Exact reduced-memory mechanism after a declared observed/hidden split; the split is operational input.
C10,operational process tuple,D06,resource theory of asymmetry,1,measurement,Exact no-creation logic for symmetric free operations; no nonpremise source is obtained.
C10,operational process tuple,D07,stochastic thermodynamics and feedback,1,environment;measurement,"Requires bath, temperature, energy scale and reset ledger."
C10,operational process tuple,D08,information geometry and diffusion maps,0,,"Produces intrinsic dimensionless geometry, not SI length or spacetime."
C10,operational process tuple,D09,noncommutative geometry and spectral action,0,,"Spectral analogy is real; algebra, grading, real structure and scale remain additional data."
C10,operational process tuple,D10,renormalization and stable fractional limits,0,,Possible universality language; the audited strict family is not Schur-closed.
C10,operational process tuple,D11,"control, observability and process tomography",3,instrument;measurement;process;record,"Operationally exact when preparations, clock and POVM are supplied."
C10,operational process tuple,D12,adaptive neural operators and reservoir memory,0,,Mechanistic analogy; training objective and data provenance are not derived.
C10,operational process tuple,D13,"topological phases, cohomology and holonomy",0,,Correct language for orientation carriers; no automatic signed section.
C10,operational process tuple,D14,causal-operational quantum theory,3,environment;instrument;measurement;observer;process,Clarifies interventions and records; does not choose a physical realization.
C10,operational process tuple,D15,statistical field theory and random operators,0,,Useful null ensembles and effective-action comparisons; not an equivalence theorem.
C11,dimensional-scale obstruction,D01,spectral graphs and quantum walks,0,,Exact at the finite operator level; not a continuum or laboratory identification.
C11,dimensional-scale obstruction,D02,lattice Green functions and inverse field reconstruction,0,,Exact for chosen quadratic operators; interaction and physical units are extra.
C11,dimensional-scale obstruction,D03,graph signal processing and wavelets,0,,Strong filter analogy; it does not supply ontology or dynamics by itself.
C11,dimensional-scale obstruction,D04,"Kron reduction, Schur complements and multigrid",0,,Exact block algebra; closure inside the strict kernel family is separately false.
C11,dimensional-scale obstruction,D05,Mori-Zwanzig reduction and process tensors,0,,Exact reduced-memory mechanism after a declared observed/hidden split; the split is operational input.
C11,dimensional-scale obstruction,D06,resource theory of asymmetry,1,no_go,Exact no-creation logic for symmetric free operations; no nonpremise source is obtained.
C11,dimensional-scale obstruction,D07,stochastic thermodynamics and feedback,1,units,"Requires bath, temperature, energy scale and reset ledger."
C11,dimensional-scale obstruction,D08,information geometry and diffusion maps,0,,"Produces intrinsic dimensionless geometry, not SI length or spacetime."
C11,dimensional-scale obstruction,D09,noncommutative geometry and spectral action,1,dimensions,"Spectral analogy is real; algebra, grading, real structure and scale remain additional data."
C11,dimensional-scale obstruction,D10,renormalization and stable fractional limits,1,scale,Possible universality language; the audited strict family is not Schur-closed.
C11,dimensional-scale obstruction,D11,"control, observability and process tomography",1,calibration,"Operationally exact when preparations, clock and POVM are supplied."
C11,dimensional-scale obstruction,D12,adaptive neural operators and reservoir memory,0,,Mechanistic analogy; training objective and data provenance are not derived.
C11,dimensional-scale obstruction,D13,"topological phases, cohomology and holonomy",0,,Correct language for orientation carriers; no automatic signed section.
C11,dimensional-scale obstruction,D14,causal-operational quantum theory,0,,Clarifies interventions and records; does not choose a physical realization.
C11,dimensional-scale obstruction,D15,statistical field theory and random operators,1,scale,Useful null ensembles and effective-action comparisons; not an equivalence theorem.
C12,selector/source obstruction,D01,spectral graphs and quantum walks,0,,Exact at the finite operator level; not a continuum or laboratory identification.
C12,selector/source obstruction,D02,lattice Green functions and inverse field reconstruction,0,,Exact for chosen quadratic operators; interaction and physical units are extra.
C12,selector/source obstruction,D03,graph signal processing and wavelets,0,,Strong filter analogy; it does not supply ontology or dynamics by itself.
C12,selector/source obstruction,D04,"Kron reduction, Schur complements and multigrid",0,,Exact block algebra; closure inside the strict kernel family is separately false.
C12,selector/source obstruction,D05,Mori-Zwanzig reduction and process tensors,0,,Exact reduced-memory mechanism after a declared observed/hidden split; the split is operational input.
C12,selector/source obstruction,D06,resource theory of asymmetry,3,chirality;no_go;resource;selector;symmetry,Exact no-creation logic for symmetric free operations; no nonpremise source is obtained.
C12,selector/source obstruction,D07,stochastic thermodynamics and feedback,0,,"Requires bath, temperature, energy scale and reset ledger."
C12,selector/source obstruction,D08,information geometry and diffusion maps,0,,"Produces intrinsic dimensionless geometry, not SI length or spacetime."
C12,selector/source obstruction,D09,noncommutative geometry and spectral action,0,,"Spectral analogy is real; algebra, grading, real structure and scale remain additional data."
C12,selector/source obstruction,D10,renormalization and stable fractional limits,0,,Possible universality language; the audited strict family is not Schur-closed.
C12,selector/source obstruction,D11,"control, observability and process tomography",0,,"Operationally exact when preparations, clock and POVM are supplied."
C12,selector/source obstruction,D12,adaptive neural operators and reservoir memory,0,,Mechanistic analogy; training objective and data provenance are not derived.
C12,selector/source obstruction,D13,"topological phases, cohomology and holonomy",1,chirality;symmetry,Correct language for orientation carriers; no automatic signed section.
C12,selector/source obstruction,D14,causal-operational quantum theory,0,,Clarifies interventions and records; does not choose a physical realization.
C12,selector/source obstruction,D15,statistical field theory and random operators,0,,Useful null ensembles and effective-action comparisons; not an equivalence theorem.
